system:time_start,NDVI for pixel Lon:120.35 Lat:63.34
"Apr 3, 2013",
"Apr 13, 2013",
"May 15, 2013",0.334
"May 22, 2013",
"May 24, 2013",
"May 31, 2013",
"Jun 7, 2013",
"Jun 7, 2013",
"Jun 9, 2013",
"Jun 16, 2013",
"Jun 23, 2013",0.722
"Jun 23, 2013",0.718
"Jul 2, 2013",
"Jul 11, 2013",
"Jul 25, 2013",0.814
"Jul 25, 2013",0.771
"Jul 27, 2013",
"Aug 3, 2013",
"Aug 10, 2013",0.696
"Aug 10, 2013",0.71
"Aug 12, 2013",0.462
"Aug 19, 2013",0.677
"Aug 26, 2013",
"Aug 28, 2013",
"Sep 4, 2013",0.579
"Sep 11, 2013",
"Sep 11, 2013",
"Sep 13, 2013",
"Oct 13, 2013",
"Oct 13, 2013",
"Oct 22, 2013",
"Feb 18, 2014",
"Feb 20, 2014",
"Mar 6, 2014",
"Mar 6, 2014",
"Mar 8, 2014",
"Mar 15, 2014",
"Mar 22, 2014",
"Mar 24, 2014",
"Mar 31, 2014",
"Apr 9, 2014",
"Apr 23, 2014",
"Apr 23, 2014",
"May 9, 2014",
"May 11, 2014",
"May 18, 2014",
"May 25, 2014",
"May 25, 2014",0.486
"May 27, 2014",0.507
"Jun 10, 2014",
"Jun 12, 2014",
"Jun 19, 2014",0.811
"Jun 26, 2014",
"Jun 26, 2014",
"Jun 28, 2014",0.821
"Jul 5, 2014",0.864
"Jul 12, 2014",
"Jul 12, 2014",
"Jul 14, 2014",0.691
"Jul 21, 2014",0.729
"Jul 28, 2014",
"Jul 28, 2014",0.313
"Jul 30, 2014",
"Aug 6, 2014",
"Aug 13, 2014",
"Aug 13, 2014",
"Aug 22, 2014",
"Aug 29, 2014",
"Aug 29, 2014",
"Aug 31, 2014",
"Sep 7, 2014",
"Sep 14, 2014",
"Sep 14, 2014",
"Oct 16, 2014",
"Oct 25, 2014",
"Feb 21, 2015",
"Feb 21, 2015",
"Feb 23, 2015",
"Mar 11, 2015",
"Apr 3, 2015",
"May 5, 2015",
"May 14, 2015",
"May 28, 2015",
"May 28, 2015",
"May 30, 2015",
"Jun 6, 2015",
"Jun 13, 2015",0.699
"Jun 13, 2015",
"Jun 15, 2015",
"Jun 22, 2015",
"Jun 29, 2015",
"Jun 29, 2015",
"Jul 1, 2015",
"Jul 8, 2015",0.85
"Jul 15, 2015",
"Jul 15, 2015",
"Jul 17, 2015",0.84
"Jul 31, 2015",
"Jul 31, 2015",0.774
"Aug 2, 2015",0.791
"Aug 9, 2015",
"Aug 16, 2015",
"Aug 16, 2015",
"Aug 18, 2015",0.647
"Aug 25, 2015",0.603
"Sep 1, 2015",
"Sep 1, 2015",
"Sep 3, 2015",
"Sep 10, 2015",0.47
"Sep 17, 2015",
"Sep 19, 2015",0.408
"Sep 26, 2015",0.354
"Oct 3, 2015",0.339
"Oct 3, 2015",0.33
"Oct 5, 2015",
"Oct 19, 2015",
"Feb 17, 2016",
"Mar 4, 2016",
"Mar 11, 2016",
"Mar 11, 2016",
"Mar 13, 2016",
"Mar 29, 2016",
"Apr 5, 2016",
"Apr 28, 2016",
"Apr 28, 2016",
"Apr 30, 2016",
"May 7, 2016",
"May 14, 2016",
"May 14, 2016",
"May 23, 2016",
"May 30, 2016",
"May 30, 2016",
"Jun 1, 2016",0.444
"Jun 8, 2016",0.633
"Jun 15, 2016",0.625
"Jun 15, 2016",0.675
"Jun 17, 2016",
"Jun 24, 2016",0.754
"Jul 1, 2016",0.661
"Jul 1, 2016",
"Jul 10, 2016",0.748
"Jul 17, 2016",0.743
"Jul 17, 2016",0.809
